Employee_ID,Name,Department,Role,Annual_Salary,Bonus,Total_Compensation,Years_of_Experience,Gender,Age,Performance_Rating,Salary_Range,Education_Level_Bachelor's,Education_Level_Master's,Education_Level_PhD,Bonus_Percentage,Annual_Salary_Zscore,Total_Compensation_Category,Years_to_Retirement,Name_Initial,High_Performer
32559,Christopher Ortiz,Finance,Engineer,0.6076489840478838,11273.74,176138.3,25,Female,34,-0.9017209324292785,High,0,0,1,16587.435227634727,0.6076489840478838,High,31,C,False
56634,Martin Travis,Sales,Sales Executive,1.0237312160595502,36130.11,123489.81,22,Male,26,-1.77101711716781,High,0,1,0,45212.62594245658,1.0237312160595502,Medium,39,M,False
70031,Justin Lara,Marketing,Engineer,-0.16692009744766356,16806.16,93865.92,5,Non-binary,42,0.6630122001000778,Medium,0,0,1,36753.152113953765,-0.16692009744766356,Medium,23,J,False
90397,Danny Young,Finance,Consultant,-1.1261724703598592,13460.48,148830.66,1,Female,53,-0.11935436616460045,Medium,1,0,0,74014.29229822673,-1.1261724703598592,High,12,D,False
13347,Samantha Gutierrez,Marketing,Consultant,1.6314570185596118,19446.48,146815.7,6,Male,38,-0.9886505509031317,High,0,0,1,19973.83346624781,1.6314570185596118,High,27,S,False
63664,Jonathan Smith,Marketing,Analyst,0.4210734548829553,20602.95,51578.59,6,Non-binary,25,-0.5540024585338661,High,0,1,0,32907.420148501864,0.4210734548829553,Low,40,J,False
50195,Alan Williams,HR,Analyst,1.3249040472354185,9573.63,121922.01,25,Female,32,-0.3801432215861597,High,0,1,0,10810.52360184631,1.3249040472354185,Medium,33,A,False
80834,Richard Holland,Engineering,Analyst,-1.477051079252363,30504.1,193302.97,26,Female,46,-0.5540024585338661,Low,0,1,0,376020.1687451433,-1.477051079252363,High,19,R,False
85238,Timothy Jensen,Sales,Consultant,0.7324660175278517,26639.51,140375.87,18,Female,32,-1.6840874986939567,High,0,0,1,37232.47543371618,0.7324660175278517,High,33,T,False
86135,James Castro,Engineering,Sales Executive,0.8712064608157044,11462.54,71510.66,12,Non-binary,34,-1.1625097878508381,High,0,1,0,15175.648023763997,0.8712064608157044,Low,31,J,False
17794,Jordan Levine,Engineering,Sales Executive,-0.5948690555391352,45206.44,91679.37,22,Non-binary,43,-0.29321360311230654,Medium,1,0,0,135185.04698323246,-0.5948690555391352,Medium,22,J,False
13892,Rebecca Obrien,Marketing,Consultant,1.653144243093906,48645.97,94999.93,15,Male,24,1.532308384838609,High,0,1,0,49647.64416868285,1.653144243093906,Medium,41,R,False
98458,Casey Lawrence,Marketing,Engineer,0.39789449302131685,21064.67,97354.71,10,Female,33,-0.03242474769074725,High,0,1,0,34006.34957757052,0.39789449302131685,Medium,32,C,False
80096,Dawn Thomas,Engineering,Analyst,-0.7217706556878803,38510.03,85834.95,24,Male,30,-0.46707284006001293,Medium,0,1,0,129241.37924256817,-0.7217706556878803,Medium,35,D,False
67035,James Taylor,Marketing,Manager,-0.18042716425467062,30026.05,68312.2,3,Female,34,0.9238010555216369,Medium,0,0,1,66225.17611559136,-0.18042716425467062,Low,31,J,False
34695,Jean Fernandez,Marketing,Manager,-0.9147694004645205,45696.71,59434.37,3,Female,44,1.0107306739954904,Medium,0,0,1,188394.56288205335,-0.9147694004645205,Low,21,J,False
74805,Emily Hernandez,Finance,Sales Executive,1.2731457048614894,10878.84,193769.28,16,Non-binary,34,0.6630122001000778,High,0,1,0,12494.014701528136,1.2731457048614894,High,31,E,False
98376,Christina Williams,Finance,Sales Executive,0.5724996856336184,37604.67,99017.42,25,Male,28,-0.03242474769074725,High,0,1,0,56162.937934284004,0.5724996856336184,Medium,37,C,False
66322,Terry Maldonado,HR,Engineer,-0.34037448505297385,26219.84,194579.79,3,Female,42,0.22836410773081198,Medium,1,0,0,64347.69779483651,-0.34037448505297385,High,23,T,False
43785,Bill Reese,Engineering,Manager,0.8367086092886565,26230.35,88059.03,18,Non-binary,49,-0.20628398463845368,High,1,0,0,35188.68510943966,0.8367086092886565,Medium,16,B,False
46980,Katrina Russell,HR,Sales Executive,0.18409507448394052,47415.48,126433.18,10,Non-binary,46,-0.29321360311230654,High,1,0,0,84966.34327537299,0.18409507448394052,High,19,K,False
22625,Gregory Rivera,HR,Consultant,0.40658731663552833,9966.0,140022.62,25,Female,47,-0.29321360311230654,High,0,1,0,16024.33185175304,0.40658731663552833,High,18,G,False
11200,Donald Martin,Sales,Consultant,-0.9480879303406808,5802.05,76526.99,21,Male,22,1.532308384838609,Medium,1,0,0,24902.29745579601,-0.9480879303406808,Medium,43,D,False
57976,Stephen Roberts,Engineering,Manager,1.3789006293035633,35684.49,198708.55,15,Female,44,1.184589910943197,High,0,1,0,39601.59922364716,1.3789006293035633,High,21,S,False
80417,Carl Pittman,Sales,Analyst,0.44966899482678696,28268.59,147640.43,3,Female,59,0.9238010555216369,High,1,0,0,44566.71568730516,0.44966899482678696,High,6,C,False
52611,Cynthia Torres,Engineering,Analyst,-1.2389897000885082,29752.94,72125.58,19,Female,58,1.532308384838609,Low,1,0,0,199052.74275041034,-1.2389897000885082,Low,7,C,False
46034,Dominique Brooks,Marketing,Sales Executive,0.13560505635205936,16385.81,96474.53,3,Male,46,0.7499418185739309,Medium,0,0,1,30113.87078511081,0.13560505635205936,Medium,19,D,False
53984,Kimberly Johnston,HR,Analyst,0.6614329586932058,29122.96,115300.98,29,Non-binary,27,-0.8147913139554254,High,0,1,0,41897.68255754376,0.6614329586932058,Medium,38,K,False
21926,Tracy Harrison,Engineering,Consultant,-0.8827962224770404,49502.15,79287.6,4,Male,59,-0.6409320770077193,Medium,0,1,0,196641.34464151887,-0.8827962224770404,Medium,6,T,False
73657,Joseph Rogers,Engineering,Engineer,1.6473911686137448,46611.76,125713.52,24,Non-binary,39,-1.0755801693769849,High,0,0,1,47651.87711468603,1.6473911686137448,High,26,J,False
99442,Anthony Parker,Marketing,Sales Executive,1.0117019451095393,30711.13,187992.02,6,Female,23,1.2715195294170498,High,0,0,1,38598.22057346618,1.0117019451095393,High,42,A,False
15473,Brian Rodriguez,Marketing,Sales Executive,0.8671447401701573,18459.4,83087.2,29,Female,36,-0.46707284006001293,High,1,0,0,24476.819685791426,0.8671447401701573,Medium,29,B,False
38420,Sonya Daugherty,Finance,Manager,1.353606683019658,11067.17,61119.82,24,Female,57,-1.5971578802201036,High,0,1,0,12381.808135211164,1.353606683019658,Low,8,S,False
53014,Mary Allen,HR,Manager,1.6448953285696708,26922.06,69494.19,27,Non-binary,50,-0.5540024585338661,High,1,0,0,27542.988700283666,1.6448953285696708,Low,15,M,False
10533,Edward Cole,HR,Sales Executive,-1.2708386722492424,31933.9,142465.02,11,Non-binary,57,-0.03242474769074725,Low,0,1,0,227565.18261661014,-1.2708386722492424,High,8,E,False
49975,Lori Rivera,HR,Analyst,-1.5987163898786558,16423.21,60026.85,19,Female,25,1.532308384838609,Low,1,0,0,355537.5258154665,-1.5987163898786558,Low,40,L,False
63659,Kenneth Myers,Engineering,Engineer,-0.021874307342868656,33234.85,45091.01,18,Female,39,-1.77101711716781,Medium,1,0,0,66614.26542729049,-0.021874307342868656,Low,26,K,False
66086,Chad Spencer,HR,Analyst,0.6151498119472552,13809.73,146342.83,26,Male,51,0.4022233446785184,High,0,0,1,20254.545085540703,0.6151498119472552,High,14,C,False
17020,Brittany Knight,Finance,Analyst,0.6608699134020657,31179.52,81721.56,5,Male,45,-0.5540024585338661,High,0,0,1,44866.78246736416,0.6608699134020657,Medium,20,B,False
45787,Heather Guerrero,Marketing,Engineer,-0.4903720319444614,44103.59,172179.07,8,Female,41,-1.5971578802201036,Medium,1,0,0,121028.72717672939,-0.4903720319444614,High,24,H,False
71210,Robert Ferguson,Marketing,Engineer,0.15605846076046517,28733.7,112481.89,29,Female,30,-0.20628398463845368,High,0,0,1,52243.03042191806,0.15605846076046517,Medium,35,R,False
58292,Elizabeth Abbott,HR,Analyst,-0.08321107354977147,42952.54,91256.3,16,Non-binary,59,-0.7278616954815721,Medium,0,1,0,89241.88848999866,-0.08321107354977147,Medium,6,E,False
61002,Elizabeth Ford,Finance,Analyst,-0.007612816879020187,12193.0,48297.2,12,Female,29,-0.5540024585338661,Medium,0,0,1,24240.099852026866,-0.007612816879020187,Low,36,E,False
51108,Steven Gibson,Marketing,Consultant,-1.4112121686775232,28613.5,64738.42,10,Male,31,-1.1625097878508381,Low,0,0,1,286059.5335364468,-1.4112121686775232,Low,34,S,False
71187,Marc Murray,Sales,Consultant,-1.4006362960113972,42301.4,190701.02,5,Non-binary,43,-1.3363690247985442,Low,0,0,1,410443.0022384477,-1.4006362960113972,High,22,M,False
61888,Douglas Stark,Finance,Consultant,-1.3448127476243334,15431.17,176942.02,28,Non-binary,46,0.4891529631523716,Low,0,0,1,129575.5737424663,-1.3448127476243334,High,19,D,False
67017,Nancy Thompson,Sales,Manager,1.6649910075229848,32145.59,137070.36,16,Female,58,0.9238010555216369,High,0,0,1,32694.011627276534,1.6649910075229848,High,7,N,False
82020,Stephanie Francis,Finance,Consultant,-0.5466451927502809,6621.43,173034.43,16,Male,23,-1.0755801693769849,Medium,1,0,0,19013.4632069439,-0.5466451927502809,High,42,S,False
49566,Heather Dickson,HR,Manager,-0.43621924203808754,18965.63,61780.88,15,Non-binary,48,-0.5540024585338661,Medium,0,1,0,49915.64691795729,-0.43621924203808754,Low,17,H,False
60984,Charles Blanchard,Sales,Manager,1.5561223824190962,16777.29,84651.15,22,Male,27,-1.4232986432723975,High,1,0,0,17623.78344058848,1.5561223824190962,Medium,38,C,False
75624,Clarence Graham,HR,Consultant,0.8851105426760595,24761.69,98309.97,21,Male,34,-1.0755801693769849,High,0,0,1,32610.49732025074,0.8851105426760595,Medium,31,C,False
77192,Crystal Palmer,Finance,Manager,-1.5773181340025053,29963.12,181902.87,2,Female,51,-0.9017209324292785,Low,1,0,0,572512.2462668021,-1.5773181340025053,High,14,C,False
48009,Mike Savage,Marketing,Consultant,-0.8258237701925779,42878.19,168420.55,3,Female,48,-0.03242474769074725,Medium,1,0,0,159936.2862569078,-0.8258237701925779,High,17,M,False
25499,Maria White,HR,Analyst,-0.14742295116456094,20711.76,68999.17,5,Female,42,0.5760825816262249,Medium,0,0,1,44746.48131829862,-0.14742295116456094,Low,23,M,False
22030,Stephanie Brooks,Finance,Sales Executive,-1.0133210206585357,7675.48,179066.96,3,Male,31,-0.9886505509031317,Medium,0,0,1,35822.589100820915,-1.0133210206585357,High,34,S,False
12120,Jessica Miller,Marketing,Engineer,0.8467170007412574,49419.33,75711.59,25,Non-binary,33,-0.9017209324292785,High,1,0,0,66042.71020610914,0.8467170007412574,Medium,32,J,False
52748,Katherine Merritt,Finance,Sales Executive,0.7798511741345735,27003.75,59381.52,9,Male,22,-0.20628398463845368,High,0,0,1,37037.31153752143,0.7798511741345735,Low,43,K,False
40724,Kimberly Barker,Marketing,Manager,-1.64519566776429,38929.07,191980.41,19,Female,29,1.532308384838609,Low,0,1,0,1185124.0282979691,-1.64519566776429,High,36,K,False
82606,Eugene Rodriguez,Finance,Engineer,-1.495911987524992,36570.48,144463.86,3,Male,50,-0.8147913139554254,Low,1,0,0,483043.4006438101,-1.495911987524992,High,15,E,False
19922,Kimberly Haney,HR,Consultant,-1.3667211345746186,18671.95,75598.59,15,Male,52,0.6630122001000778,Low,0,0,1,165531.37551352222,-1.3667211345746186,Medium,13,K,False
83146,Sarah Martinez,Finance,Consultant,1.4238701093207182,44391.15,170091.04,1,Non-binary,27,0.4891529631523716,High,0,0,1,48568.0964249201,1.4238701093207182,High,38,S,False
55533,William Fisher,Sales,Analyst,0.2470211683106318,36231.83,166465.16,25,Male,46,-1.77101711716781,High,0,0,1,62889.74524918602,0.2470211683106318,High,19,W,False
63604,Dawn Hughes,Sales,Analyst,-0.05668299028837985,14557.53,121627.79,12,Non-binary,30,-0.20628398463845368,Medium,0,1,0,29774.80462010147,-0.05668299028837985,Medium,35,D,False
80022,John Collins,Sales,Engineer,1.505659646232829,18496.59,63137.22,5,Male,50,1.4453787663647562,High,0,0,1,19730.106662482434,1.505659646232829,Low,15,J,False
94743,Megan Brewer,Marketing,Sales Executive,1.127659807885903,9056.33,199575.05,26,Male,43,1.532308384838609,High,0,1,0,10925.007597701628,1.127659807885903,High,22,M,False
88089,Maria White,Marketing,Engineer,0.021959893395638093,41731.22,91645.5,27,Non-binary,41,0.5760825816262249,Medium,0,0,1,81585.96140334342,0.021959893395638093,Medium,24,M,False
44108,Kevin Joseph,Engineering,Analyst,1.533818564673458,46115.94,171892.08,17,Male,54,0.6630122001000778,High,0,1,0,48770.77171877945,1.533818564673458,High,11,K,False
18543,Kristina Alexander,Engineering,Consultant,-1.2815026296598466,15250.88,87882.71,7,Male,37,0.9238010555216369,Low,0,1,0,111103.8514222093,-1.2815026296598466,Medium,28,K,False
81047,Emily Davis,Sales,Engineer,-1.5388396758392135,6201.35,84504.18,2,Female,37,0.3152937262046652,Low,0,0,1,97838.33824422212,-1.5388396758392135,Medium,28,E,False
73823,Patricia Gilbert,Sales,Engineer,0.7230897450149394,46385.29,102451.39,19,Female,36,-0.11935436616460045,High,1,0,0,65074.83027016596,0.7230897450149394,Medium,29,P,False
22266,Cody Simpson,Marketing,Manager,0.7022386918499877,12095.06,117650.53,22,Male,47,-1.3363690247985442,High,1,0,0,17112.11313626892,0.7022386918499877,Medium,18,C,False
91053,Kim Munoz,Engineering,Sales Executive,1.6635445799742743,32766.51,102957.72,2,Non-binary,23,1.532308384838609,High,0,1,0,33339.60632586736,1.6635445799742743,Medium,42,K,False
37914,Joshua Anderson,Sales,Analyst,-1.6393373985533124,40972.81,182037.7,15,Female,33,-0.6409320770077193,Low,1,0,0,1186584.2355423828,-1.6393373985533124,High,32,J,False
33043,Christina Valdez,Finance,Analyst,1.5608887810204668,11886.06,187419.28,25,Non-binary,52,0.3152937262046652,High,0,1,0,12467.845136490194,1.5608887810204668,High,13,C,False
77751,Megan Schmidt,Sales,Sales Executive,0.7363566383100243,17529.61,139045.12,21,Non-binary,46,1.4453787663647562,High,0,0,1,24461.914391673996,0.7363566383100243,High,19,M,False
57218,Cory Beltran,Marketing,Sales Executive,-1.2380201341960537,12523.79,174805.62,19,Female,32,-0.3801432215861597,Low,1,0,0,83630.75239907834,-1.2380201341960537,High,33,C,False
62752,Patrick Brown,Engineering,Manager,0.8162143310240005,18389.2,113818.87,17,Non-binary,39,0.5760825816262249,High,0,0,1,24865.86316396625,0.8162143310240005,Medium,26,P,False
60512,Juan Nelson,Engineering,Consultant,1.2744996117433374,28809.24,87721.81,26,Female,40,-1.2494394063246912,High,0,0,1,33071.76601253474,1.2744996117433374,Medium,25,J,False
59331,Melissa Chang,Engineering,Consultant,-1.5155548855435617,28968.07,198741.08,8,Non-binary,31,1.3584491478909024,Low,0,1,0,413422.85483077326,-1.5155548855435617,High,34,M,False
29415,Stacy King,Sales,Sales Executive,-0.4609564800628281,16201.22,158297.08,6,Male,37,1.532308384838609,Medium,0,1,0,43452.22033344996,-0.4609564800628281,High,28,S,False
13060,Mr. Larry Mendez,Finance,Analyst,-0.7661054819525562,14776.53,185852.11,19,Male,39,1.4453787663647562,Medium,0,1,0,51803.67135421651,-0.7661054819525562,High,26,M,False
19836,James Jackson,Engineering,Engineer,1.0971618909426282,37347.1,82943.74,25,Male,36,1.6192380033124625,High,0,0,1,45534.25174809352,1.0971618909426282,Medium,29,J,False
25042,Gabriella Villarreal,Marketing,Sales Executive,0.05700399707908821,35414.08,166700.25,17,Male,36,0.7499418185739309,Medium,0,0,1,67900.11501337099,0.05700399707908821,High,29,G,False
80941,Zachary Martin,Finance,Engineer,-0.5026905884042147,18093.24,154821.61,1,Non-binary,29,0.6630122001000778,Medium,0,0,1,50137.9417846369,-0.5026905884042147,High,36,Z,False
95936,Steven Sanders,Marketing,Sales Executive,1.6834076898540387,21771.63,155297.45,5,Female,44,-1.5102282617462506,High,0,0,1,22024.622843039004,1.6834076898540387,High,21,S,False
59495,Lisa Roberts,HR,Consultant,1.4459413579928078,32608.01,58854.45,7,Female,40,0.9238010555216369,High,1,0,0,35430.58959971232,1.4459413579928078,Low,25,L,False
13338,Christopher Edwards,HR,Manager,-1.7549603491897015,30669.9,168519.91,3,Non-binary,52,1.0107306739954904,Low,1,0,0,22992698.81606798,-1.7549603491897015,High,13,C,False
60310,Christina Cook,HR,Consultant,0.10395189847940887,7237.15,95443.89,6,Female,58,1.4453787663647562,Medium,1,0,0,13526.359680189667,0.10395189847940887,Medium,7,C,False
82538,Dr. Darrell Griffin,Finance,Manager,-0.9892938470667987,33460.66,49217.24,11,Female,22,1.0976602924693433,Medium,1,0,0,151294.76021431873,-0.9892938470667987,Low,43,D,False
93522,Courtney Schmidt,Sales,Sales Executive,-0.5800049133342909,36663.34,71796.33,4,Male,54,-0.9886505509031317,Medium,1,0,0,108256.27108990535,-0.5800049133342909,Low,11,C,False
10250,Misty Holmes,Sales,Sales Executive,1.269438858006644,16280.02,170982.66,18,Non-binary,30,0.3152937262046652,High,1,0,0,18719.985490526342,1.269438858006644,High,35,M,False
77852,Christopher Thompson,HR,Analyst,0.43345474795927913,43879.12,79533.0,27,Non-binary,26,-1.3363690247985442,High,0,1,0,69688.8835882379,0.43345474795927913,Medium,39,C,False
45608,Elizabeth Herrera,HR,Analyst,-0.31681656867912084,13216.95,121071.76,18,Non-binary,41,0.3152937262046652,Medium,0,1,0,31906.89323356289,-0.31681656867912084,Medium,24,E,False
68748,Heidi Riley,Finance,Sales Executive,-0.4050011214106464,25782.06,173288.35,24,Female,36,-1.5971578802201036,Medium,1,0,0,66292.0115054159,-0.4050011214106464,High,29,H,False
29514,Dominic West,Engineering,Engineer,1.0206916586718648,17164.14,186778.46,21,Non-binary,28,0.6630122001000778,High,0,0,1,21502.404550595325,1.0206916586718648,High,37,D,False
22682,Lindsey Smith,Engineering,Engineer,1.0043319769204895,25523.92,74500.8,14,Non-binary,51,-0.7278616954815721,High,0,0,1,32164.392673640614,1.0043319769204895,Low,14,L,False
52474,Gina Clark,Sales,Analyst,0.8668221852425365,10258.15,69149.87,22,Non-binary,49,-1.5102282617462506,High,0,1,0,13603.785829996441,0.8668221852425365,Low,16,G,False
73429,Whitney Williams,Engineering,Consultant,-1.0376837400934458,29016.18,134024.85,18,Non-binary,23,-1.5102282617462506,Medium,0,0,1,139992.87238684617,-1.0376837400934458,High,42,W,False
37717,Mark Perez,Engineering,Analyst,-1.41074544627243,35683.15,157560.33,29,Non-binary,43,-0.9886505509031317,Low,0,1,0,356260.1277993286,-1.41074544627243,High,22,M,False
