Employee_ID,Name,Department,Role,Base_Salary,Bonus,Total_Compensation,Years_of_Experience,Education_Level,Gender,Age,City,Performance_Rating
74489,Karen Perry,HR,Sales Executive,83899.56,49693.12,72344.22,13,Bachelor's,Male,49,Chicago,2.1
90806,Chelsea Tate,HR,Manager,90417.04,21337.18,107887.05,11,PhD,Male,26,Chicago,2.3
57750,Curtis Marshall,Marketing,Sales Executive,85069.05,12086.74,143652.68,7,Bachelor's,Female,23,Los Angeles,2.1
65850,Lisa Valentine,HR,Manager,41893.74,49643.2,169680.7,21,PhD,Female,30,Los Angeles,4.4
63844,Melanie Singh,Marketing,Sales Executive,97715.71,12553.69,74697.12,13,Bachelor's,Other,52,Los Angeles,4.7
80609,Amanda Sweeney,Sales,Consultant,59975.93,26475.24,151445.01,18,PhD,Female,57,Los Angeles,4.8
51288,Matthew Myers,Engineering,Consultant,138157.13,36952.55,189343.0,26,Bachelor's,Male,31,Los Angeles,3.3
89229,Alexander Sanchez,Marketing,Engineer,110667.48,39019.35,85910.35,2,Master's,Male,42,New York,4.4
14789,Peter Park,Engineering,Analyst,46563.64,20181.46,89073.58,5,Master's,Other,32,Los Angeles,4.2
32559,Christopher Ortiz,Finance,Engineer,114749.84,11273.74,176138.3,25,PhD,Female,34,Los Angeles,2.0
56634,Martin Travis,Sales,Sales Executive,127881.61,36130.11,123489.81,22,Master's,Male,26,San Francisco,1.0
70031,Justin Lara,Marketing,Engineer,90304.04,16806.16,93865.92,5,PhD,Other,42,Chicago,3.8
90397,Danny Young,Finance,Consultant,60029.54,13460.48,148830.66,1,Bachelor's,Female,53,San Francisco,2.9
13347,Samantha Gutierrez,Marketing,Consultant,147061.75,19446.48,146815.7,6,PhD,Male,38,Los Angeles,1.9
63664,Jonathan Smith,Marketing,Analyst,108861.42,20602.95,51578.59,6,Master's,Other,25,Chicago,2.4
50195,Alan Williams,HR,Analyst,137386.78,9573.63,121922.01,25,Master's,Female,32,Chicago,2.6
80834,Richard Holland,Engineering,Analyst,48955.63,30504.1,193302.97,26,Master's,Female,46,San Francisco,2.4
85238,Timothy Jensen,Sales,Consultant,118689.13,26639.51,140375.87,18,PhD,Female,32,Houston,1.1
86135,James Castro,Engineering,Sales Executive,123067.85,11462.54,71510.66,12,Master's,Other,34,New York,1.7
17794,Jordan Levine,Engineering,Sales Executive,76797.75,45206.44,91679.37,22,Bachelor's,Other,43,Houston,2.7
13892,Rebecca Obrien,Marketing,Consultant,147746.21,48645.97,94999.93,15,Master's,Male,24,Chicago,4.8
98458,Casey Lawrence,Marketing,Engineer,108129.88,21064.67,97354.71,10,Master's,Female,33,New York,3.0
80096,Dawn Thomas,Engineering,Analyst,72792.67,38510.03,85834.95,24,Master's,Male,30,New York,2.5
67035,James Taylor,Marketing,Manager,89877.75,30026.05,68312.2,3,PhD,Female,34,San Francisco,4.1
34695,Jean Fernandez,Marketing,Manager,66701.53,45696.71,59434.37,3,PhD,Female,44,Houston,4.2
74805,Emily Hernandez,Finance,Sales Executive,135753.26,10878.84,193769.28,16,Master's,Other,34,New York,3.8
98376,Christina Williams,Finance,Sales Executive,113640.51,37604.67,99017.42,25,Master's,Male,28,San Francisco,3.0
66322,Terry Maldonado,HR,Engineer,84829.73,26219.84,194579.79,3,Bachelor's,Female,42,San Francisco,3.3
43785,Bill Reese,Engineering,Manager,121979.08,26230.35,88059.03,18,Bachelor's,Other,49,Houston,2.8
46980,Katrina Russell,HR,Sales Executive,101382.26,47415.48,126433.18,10,Bachelor's,Other,46,New York,2.7
22625,Gregory Rivera,HR,Consultant,108404.23,9966.0,140022.62,25,Master's,Female,47,Los Angeles,2.7
11200,Donald Martin,Sales,Consultant,65649.98,5802.05,76526.99,21,Bachelor's,Male,22,Houston,4.8
57976,Stephen Roberts,Engineering,Manager,139090.94,35684.49,198708.55,15,Master's,Female,44,Houston,4.4
80417,Carl Pittman,Sales,Analyst,109763.91,28268.59,147640.43,3,Bachelor's,Female,59,San Francisco,4.1
52611,Cynthia Torres,Engineering,Analyst,56468.97,29752.94,72125.58,19,Bachelor's,Female,58,Los Angeles,4.8
46034,Dominique Brooks,Marketing,Sales Executive,99851.89,16385.81,96474.53,3,PhD,Male,46,San Francisco,3.9
53984,Kimberly Johnston,HR,Analyst,116447.29,29122.96,115300.98,29,Master's,Other,27,Los Angeles,2.1
21926,Tracy Harrison,Engineering,Consultant,67710.62,49502.15,79287.6,4,Master's,Male,59,Houston,2.3
73657,Joseph Rogers,Engineering,Engineer,147564.64,46611.76,125713.52,24,PhD,Other,39,New York,1.8
99442,Anthony Parker,Marketing,Sales Executive,127501.96,30711.13,187992.02,6,PhD,Female,23,Chicago,4.5
15473,Brian Rodriguez,Marketing,Sales Executive,122939.66,18459.4,83087.2,29,Bachelor's,Female,36,San Francisco,2.5
38420,Sonya Daugherty,Finance,Manager,138292.65,11067.17,61119.82,24,Master's,Female,57,New York,1.2
53014,Mary Allen,HR,Manager,147485.87,26922.06,69494.19,27,Bachelor's,Other,50,San Francisco,2.4
10533,Edward Cole,HR,Sales Executive,55463.8,31933.9,142465.02,11,Master's,Other,57,Houston,3.0
49975,Lori Rivera,HR,Analyst,45115.81,16423.21,60026.85,19,Bachelor's,Female,25,Los Angeles,4.8
63659,Kenneth Myers,Engineering,Engineer,94881.76,33234.85,45091.01,18,Bachelor's,Female,39,San Francisco,1.0
66086,Chad Spencer,HR,Analyst,114986.57,13809.73,146342.83,26,PhD,Male,51,Houston,3.5
17020,Brittany Knight,Finance,Analyst,116429.52,31179.52,81721.56,5,PhD,Male,45,Los Angeles,2.4
45787,Heather Guerrero,Marketing,Engineer,80095.73,44103.59,172179.07,8,Bachelor's,Female,41,San Francisco,1.2
71210,Robert Ferguson,Marketing,Engineer,100497.41,28733.7,112481.89,29,PhD,Female,30,San Francisco,2.8
58292,Elizabeth Abbott,HR,Analyst,92945.94,42952.54,91256.3,16,Master's,Other,59,New York,2.2
61002,Elizabeth Ford,Finance,Analyst,95331.86,12193.0,48297.2,12,PhD,Female,29,San Francisco,2.4
51108,Steven Gibson,Marketing,Consultant,51033.54,28613.5,64738.42,10,PhD,Male,31,Houston,1.7
71187,Marc Murray,Sales,Consultant,51367.32,42301.4,190701.02,5,PhD,Other,43,New York,1.5
61888,Douglas Stark,Finance,Consultant,53129.14,15431.17,176942.02,28,PhD,Other,46,New York,3.6
67017,Nancy Thompson,Sales,Manager,148120.1,32145.59,137070.36,16,PhD,Female,58,Houston,4.1
82020,Stephanie Francis,Finance,Consultant,78319.72,6621.43,173034.43,16,Bachelor's,Male,23,Houston,1.8
49566,Heather Dickson,HR,Manager,81804.82,18965.63,61780.88,15,Master's,Other,48,San Francisco,2.4
60984,Charles Blanchard,Sales,Manager,144684.15,16777.29,84651.15,22,Bachelor's,Male,27,New York,1.4
75624,Clarence Graham,HR,Consultant,123506.67,24761.69,98309.97,21,PhD,Male,34,Los Angeles,1.8
77192,Crystal Palmer,Finance,Manager,45791.15,29963.12,181902.87,2,Bachelor's,Female,51,Houston,2.0
48009,Mike Savage,Marketing,Consultant,69508.7,42878.19,168420.55,3,Bachelor's,Female,48,Chicago,3.0
25499,Maria White,HR,Analyst,90919.38,20711.76,68999.17,5,PhD,Female,42,New York,3.7
22030,Stephanie Brooks,Finance,Sales Executive,63591.19,7675.48,179066.96,3,PhD,Male,31,Chicago,1.9
12120,Jessica Miller,Marketing,Engineer,122294.95,49419.33,75711.59,25,Bachelor's,Other,33,Chicago,2.0
52748,Katherine Merritt,Finance,Sales Executive,120184.63,27003.75,59381.52,9,PhD,Male,22,San Francisco,2.8
40724,Kimberly Barker,Marketing,Manager,43648.9,38929.07,191980.41,19,Master's,Female,29,Los Angeles,4.8
82606,Eugene Rodriguez,Finance,Engineer,48360.37,36570.48,144463.86,3,Bachelor's,Male,50,Los Angeles,2.1
19922,Kimberly Haney,HR,Consultant,52437.7,18671.95,75598.59,15,PhD,Male,52,Chicago,3.8
83146,Sarah Martinez,Finance,Consultant,140510.2,44391.15,170091.04,1,PhD,Other,27,San Francisco,3.6
55533,William Fisher,Sales,Analyst,103368.24,36231.83,166465.16,25,PhD,Male,46,Los Angeles,1.0
63604,Dawn Hughes,Sales,Analyst,93783.18,14557.53,121627.79,12,Master's,Other,30,Houston,2.8
80022,John Collins,Sales,Engineer,143091.52,18496.59,63137.22,5,PhD,Male,50,San Francisco,4.7
94743,Megan Brewer,Marketing,Sales Executive,131161.65,9056.33,199575.05,26,Master's,Male,43,San Francisco,4.8
88089,Maria White,Marketing,Engineer,96265.19,41731.22,91645.5,27,PhD,Other,41,Chicago,3.7
44108,Kevin Joseph,Engineering,Analyst,143980.23,46115.94,171892.08,17,Master's,Male,54,Chicago,3.8
18543,Kristina Alexander,Engineering,Consultant,55127.24,15250.88,87882.71,7,Master's,Male,37,Chicago,4.1
81047,Emily Davis,Sales,Engineer,47005.55,6201.35,84504.18,2,PhD,Female,37,New York,3.4
73823,Patricia Gilbert,Sales,Engineer,118393.21,46385.29,102451.39,19,Bachelor's,Female,36,Houston,2.9
22266,Cody Simpson,Marketing,Manager,117735.14,12095.06,117650.53,22,Bachelor's,Male,47,Houston,1.5
91053,Kim Munoz,Engineering,Sales Executive,148074.45,32766.51,102957.72,2,Master's,Other,23,San Francisco,4.8
37914,Joshua Anderson,Sales,Analyst,43833.79,40972.81,182037.7,15,Bachelor's,Female,33,New York,2.3
33043,Christina Valdez,Finance,Analyst,144834.58,11886.06,187419.28,25,Master's,Other,52,Los Angeles,3.4
77751,Megan Schmidt,Sales,Sales Executive,118811.92,17529.61,139045.12,21,PhD,Other,46,New York,4.7
57218,Cory Beltran,Marketing,Sales Executive,56499.57,12523.79,174805.62,19,Bachelor's,Female,32,Chicago,2.6
62752,Patrick Brown,Engineering,Manager,121332.27,18389.2,113818.87,17,PhD,Other,39,Houston,3.7
60512,Juan Nelson,Engineering,Consultant,135795.99,28809.24,87721.81,26,PhD,Female,40,Houston,1.6
59331,Melissa Chang,Engineering,Consultant,47740.43,28968.07,198741.08,8,Master's,Other,31,Chicago,4.6
29415,Stacy King,Sales,Sales Executive,81024.1,16201.22,158297.08,6,Master's,Male,37,Los Angeles,4.8
13060,Mr. Larry Mendez,Finance,Analyst,71393.44,14776.53,185852.11,19,Master's,Male,39,Chicago,4.7
19836,James Jackson,Engineering,Engineer,130199.12,37347.1,82943.74,25,PhD,Male,36,Houston,4.9
25042,Gabriella Villarreal,Marketing,Sales Executive,97371.2,35414.08,166700.25,17,PhD,Male,36,San Francisco,3.9
80941,Zachary Martin,Finance,Engineer,79706.95,18093.24,154821.61,1,PhD,Other,29,Chicago,3.8
95936,Steven Sanders,Marketing,Sales Executive,148701.34,21771.63,155297.45,5,PhD,Female,44,San Francisco,1.3
59495,Lisa Roberts,HR,Consultant,141206.78,32608.01,58854.45,7,Bachelor's,Female,40,New York,4.1
13338,Christopher Edwards,HR,Manager,40184.67,30669.9,168519.91,3,Bachelor's,Other,52,Chicago,4.2
60310,Christina Cook,HR,Consultant,98852.9,7237.15,95443.89,6,Bachelor's,Female,58,Chicago,4.7
82538,Dr. Darrell Griffin,Finance,Manager,64349.5,33460.66,49217.24,11,Bachelor's,Female,22,Los Angeles,4.3
93522,Courtney Schmidt,Sales,Sales Executive,77266.87,36663.34,71796.33,4,Bachelor's,Male,54,San Francisco,1.9
10250,Misty Holmes,Sales,Sales Executive,135636.27,16280.02,170982.66,18,Bachelor's,Other,30,Los Angeles,3.4
77852,Christopher Thompson,HR,Analyst,109252.18,43879.12,79533.0,27,Master's,Other,26,Chicago,1.5
45608,Elizabeth Herrera,HR,Analyst,85573.23,13216.95,121071.76,18,Master's,Other,41,Los Angeles,3.4
68748,Heidi Riley,Finance,Sales Executive,82790.08,25782.06,173288.35,24,Bachelor's,Female,36,Los Angeles,1.2
29514,Dominic West,Engineering,Engineer,127785.68,17164.14,186778.46,21,PhD,Other,28,Chicago,3.8
22682,Lindsey Smith,Engineering,Engineer,127269.36,25523.92,74500.8,14,PhD,Other,51,San Francisco,2.2
52474,Gina Clark,Sales,Analyst,122929.48,10258.15,69149.87,22,Master's,Other,49,San Francisco,1.3
73429,Whitney Williams,Engineering,Consultant,62822.29,29016.18,134024.85,18,PhD,Other,23,Houston,1.3
37717,Mark Perez,Engineering,Analyst,51048.27,35683.15,157560.33,29,Master's,Other,43,Chicago,1.9
47520,Helen Stanley,HR,Manager,50095.15,27335.95,113654.43,16,Bachelor's,Female,59,Chicago,2.2
50956,Heather Sanchez,Finance,Analyst,57406.87,23580.34,106515.73,12,Master's,Male,45,New York,4.7
32822,Carrie Wright,Finance,Engineer,93839.75,18369.21,89420.67,16,Bachelor's,Male,24,Houston,1.5
78477,Logan Holland,Engineering,Sales Executive,57800.66,40554.7,153963.47,8,PhD,Male,44,Los Angeles,3.4
21698,Jason Novak,HR,Engineer,55168.63,6724.35,131821.29,6,Master's,Other,22,Houston,4.8
56857,Bryan Lopez,Engineering,Engineer,109328.26,7115.24,163270.25,6,PhD,Female,32,Houston,4.9
39353,Paul Key,Sales,Engineer,46747.03,33235.51,124437.84,13,Bachelor's,Male,42,Houston,1.0
58229,Emily Stevenson,Marketing,Engineer,95527.52,23140.08,111443.29,26,PhD,Other,27,New York,1.1
73096,Mark Jackson,Finance,Analyst,49824.22,9009.27,168679.52,11,PhD,Male,44,Chicago,4.7
49278,Tina Hartman,Engineering,Engineer,99981.42,16737.44,164820.26,10,Bachelor's,Female,33,San Francisco,2.6
85134,Brian Thompson,HR,Sales Executive,129159.77,10581.99,165441.1,28,Master's,Female,44,Los Angeles,2.2
66738,Elizabeth Barrett,Finance,Manager,146183.12,12298.74,198967.29,20,PhD,Female,39,Houston,2.0
90402,Gary Sexton,Marketing,Consultant,79754.81,46615.93,62850.33,17,PhD,Other,32,San Francisco,3.2
44094,Susan Rodriguez,HR,Consultant,115382.76,25842.68,57844.95,18,PhD,Male,31,Houston,4.1
22029,Nathan Collier,Marketing,Sales Executive,117798.96,21360.56,94227.53,20,PhD,Female,25,New York,4.4
84302,Shannon Wilson,Marketing,Engineer,133037.16,40172.88,64420.05,29,Master's,Other,50,New York,4.5
73562,Joyce Crane,Finance,Engineer,75034.95,32782.95,129615.86,19,PhD,Male,50,New York,3.3
75641,Kenneth Hahn,Marketing,Consultant,50409.15,36348.33,81285.5,16,Bachelor's,Female,55,San Francisco,2.5
81393,Joy Thomas,Finance,Consultant,40384.05,10894.02,174598.09,11,Master's,Female,25,Chicago,3.0
72710,Jason Gomez,Sales,Consultant,93933.51,17061.24,114333.64,18,PhD,Other,37,Los Angeles,4.6
50868,Benjamin Hall,Marketing,Analyst,125545.74,27862.78,167529.91,13,Bachelor's,Other,41,Los Angeles,3.2
49279,Jonathan Martin,Finance,Consultant,86187.76,35109.53,59218.52,10,Bachelor's,Other,23,Los Angeles,3.4
92548,Michael Ingram,HR,Sales Executive,62181.91,20536.15,128857.0,18,PhD,Female,25,New York,4.2
71133,James Gonzalez,HR,Manager,94788.79,41599.46,169787.63,10,Master's,Other,28,Houston,2.6
94979,Vanessa Cruz,Marketing,Consultant,110025.66,44106.81,78778.47,23,PhD,Other,49,Los Angeles,4.6
19076,Dorothy Ramos,Engineering,Analyst,101918.74,5106.25,49798.11,26,PhD,Male,45,Houston,1.5
17256,Brandi Adams,Engineering,Engineer,73792.42,5302.42,199260.98,14,PhD,Male,35,Chicago,2.5
85910,Sabrina Curry,Marketing,Manager,121082.95,9012.58,157956.34,29,Master's,Female,40,New York,5.0
92677,Nicholas Brown,Sales,Manager,43699.69,5327.55,194937.89,17,Master's,Female,26,New York,1.7
31986,Andrea Fields,HR,Consultant,40752.2,5691.64,183453.55,12,Bachelor's,Other,39,Chicago,3.1
94281,Breanna Perez,Finance,Analyst,101787.31,23886.78,199520.37,2,Master's,Female,59,Chicago,2.5
97253,Julie Young,Marketing,Engineer,93927.29,5667.66,157517.37,16,Master's,Male,43,New York,3.6
89450,Russell Graham,Finance,Consultant,103495.39,38141.61,136561.39,10,Master's,Male,31,New York,3.5
21523,Rachel Garza,Engineering,Manager,80861.24,33139.17,169440.13,22,PhD,Female,31,Chicago,1.8
68788,Bobby Grimes,HR,Consultant,45832.52,20633.91,139151.0,5,Bachelor's,Male,35,Los Angeles,5.0
40173,Mathew Garrison,HR,Engineer,81071.62,21303.84,137521.56,2,Master's,Male,26,Chicago,2.8
45183,Jared Leonard,HR,Consultant,42162.44,33648.59,149611.89,5,Master's,Male,23,San Francisco,2.2
72157,Brittany Hoover,Sales,Manager,100671.93,11556.5,185049.91,19,Bachelor's,Other,36,Chicago,1.9
97357,Kyle Hahn,Marketing,Sales Executive,139021.2,19790.12,96238.58,6,PhD,Other,57,San Francisco,4.0
36967,Mrs. Denise Ellis,Finance,Sales Executive,107268.96,37206.75,144687.14,15,Master's,Female,47,Chicago,3.2
16331,Mackenzie Lee,Sales,Analyst,87851.5,21549.28,140864.47,2,Master's,Male,36,Chicago,3.7
14432,Raymond Hall,Engineering,Manager,88395.68,5917.76,172677.5,1,Bachelor's,Female,41,Chicago,1.3
46026,Terry Gilmore,HR,Engineer,71547.71,9499.2,104750.28,18,Bachelor's,Female,40,San Francisco,4.5
37825,Eric Castillo,HR,Engineer,72928.48,49783.12,107947.31,11,Bachelor's,Female,49,San Francisco,4.7
38595,Alex Lee,Marketing,Manager,103190.1,40166.09,178251.45,21,Master's,Male,30,San Francisco,4.1
12016,John Moore,Engineering,Engineer,83562.94,28747.34,173668.65,8,PhD,Other,40,Los Angeles,4.8
78175,Jennifer Moore,Finance,Sales Executive,61776.15,41619.66,89813.92,11,Master's,Female,35,San Francisco,2.9
45630,Christopher Bryan,Engineering,Manager,95015.61,21307.66,49433.08,24,Master's,Other,26,San Francisco,3.0
64419,Dr. Sarah Green,Engineering,Sales Executive,130882.04,44783.93,87085.0,7,Bachelor's,Other,47,New York,1.3
45295,Mike Smith,HR,Sales Executive,149831.57,21203.87,127677.83,27,Bachelor's,Female,22,Houston,3.7
52583,Denise Tate,Marketing,Sales Executive,47197.25,29416.28,125886.56,1,PhD,Male,34,New York,1.1
71520,Vicki Valencia,Marketing,Manager,107970.63,46064.49,180817.42,19,Bachelor's,Other,31,Chicago,3.8
37277,Brittany Cunningham,Sales,Manager,128046.99,39754.18,95556.75,26,Bachelor's,Other,42,Los Angeles,1.3
82380,Danielle Leblanc,Engineering,Consultant,122044.13,36514.76,49209.77,12,Master's,Male,26,New York,4.5
13038,Andrew Taylor,HR,Manager,123682.91,36406.57,119303.82,9,Master's,Female,46,San Francisco,2.6
57007,Joel Thomas,Sales,Consultant,108042.15,49042.06,96367.32,25,PhD,Female,45,New York,2.8
71453,Mrs. Tara Powell,Finance,Consultant,110838.68,40930.44,186065.75,25,Master's,Female,31,San Francisco,2.9
88557,Austin Scott,HR,Manager,133231.58,9270.06,162756.61,23,PhD,Male,47,Chicago,3.7
57705,Courtney Andrews,Sales,Manager,59325.27,28920.1,111761.25,4,Bachelor's,Female,56,Los Angeles,1.6
93154,Chelsey Moore,Marketing,Engineer,148510.97,25312.86,58961.37,26,Bachelor's,Male,53,San Francisco,2.8
86608,Kathy Collins,HR,Manager,74431.39,26430.08,163439.67,23,Bachelor's,Female,32,San Francisco,4.9
85805,Lorraine Foster,HR,Engineer,56263.44,11588.1,131041.01,1,Master's,Female,35,Houston,2.6
87678,Steven Booker,Marketing,Consultant,56434.87,25878.04,110953.55,10,Bachelor's,Male,51,New York,2.8
86552,Jennifer Erickson,Sales,Analyst,144150.51,10543.21,122885.81,7,Bachelor's,Other,37,Chicago,1.6
77055,Heather Prince,Engineering,Manager,77048.15,9920.41,117942.54,21,PhD,Female,28,Los Angeles,1.4
45694,Sherri Lamb,Finance,Manager,79537.45,25285.01,91515.92,15,Master's,Male,59,New York,4.1
28952,Jessica Hill,Sales,Analyst,73616.05,41814.3,168199.6,23,Bachelor's,Male,23,Chicago,4.9
75738,Melissa Atkinson,Engineering,Sales Executive,102394.49,26067.57,187774.56,15,Master's,Female,28,Houston,3.2
95630,Steven Gray,Finance,Consultant,132260.45,35565.91,150435.62,10,Bachelor's,Female,46,New York,4.3
84393,Scott Montes,Finance,Analyst,72037.43,27652.78,86282.59,17,Bachelor's,Female,48,Los Angeles,2.7
94439,Benjamin Clayton,Finance,Engineer,143395.02,19946.44,178148.94,5,PhD,Other,40,San Francisco,4.3
40040,Ryan Smith,Marketing,Engineer,76804.8,28752.06,84954.38,17,PhD,Other,35,San Francisco,1.0
32037,Alexander Rodriguez,Engineering,Consultant,62008.52,49444.29,97004.75,15,Bachelor's,Female,33,San Francisco,2.1
93071,Brian Thompson,Finance,Analyst,62707.53,6555.07,105731.8,26,Bachelor's,Other,26,New York,2.9
26303,Eddie Ryan,Marketing,Analyst,139463.76,11352.0,147953.19,11,Master's,Female,47,New York,2.6
77442,Theresa Ayala,Finance,Sales Executive,71419.13,48493.02,55911.15,7,PhD,Other,54,New York,3.3
73778,Mary Cox,Marketing,Manager,102138.93,27658.64,51580.05,4,Master's,Male,25,San Francisco,3.8
56047,Lindsay Barton,Finance,Sales Executive,95828.53,11975.6,172094.64,26,Bachelor's,Male,41,Los Angeles,4.6
39051,Jacqueline Turner,Sales,Engineer,74729.45,23987.49,183740.94,28,Bachelor's,Other,37,Los Angeles,1.3
89745,David Torres,Finance,Analyst,132538.66,22005.54,195863.66,6,Bachelor's,Female,42,Chicago,1.1
33385,Tammy Matthews,Marketing,Analyst,125821.79,32716.25,70087.88,17,Master's,Other,22,Chicago,1.5
25734,Dustin Mcdonald,HR,Analyst,145079.59,31429.85,74758.76,26,Master's,Other,50,San Francisco,4.7
35269,Laura Brown,Marketing,Manager,81087.13,38917.68,151478.12,20,Bachelor's,Female,41,Los Angeles,1.2
55619,Sarah Owens,HR,Sales Executive,75489.47,23159.42,117126.86,16,Bachelor's,Other,43,New York,4.5
87423,Corey Davis,Engineering,Sales Executive,79723.18,49341.61,58567.71,2,Master's,Male,46,San Francisco,3.5
92190,Michael Lopez,Marketing,Consultant,137856.15,6536.37,66651.68,29,Master's,Other,27,Los Angeles,4.3
64984,Alice Kelly,Finance,Consultant,63358.38,38799.37,109604.46,3,Bachelor's,Male,59,Los Angeles,3.1
71942,Jon West,Finance,Consultant,98330.71,41505.79,194580.99,27,PhD,Other,57,New York,4.7
58426,Gary Yang,HR,Analyst,121163.19,32210.72,60932.23,4,Master's,Other,58,Chicago,4.3
18288,Dr. Richard White,Sales,Engineer,50655.03,40011.63,176439.11,29,Master's,Other,23,San Francisco,1.7
88002,Jack Daniel,Engineering,Sales Executive,61942.71,31982.6,183638.69,22,Bachelor's,Female,45,New York,3.9
21866,Linda Roach,Finance,Sales Executive,113758.87,48125.27,171701.66,1,PhD,Male,33,Chicago,4.7
98862,Emily Holland,Engineering,Sales Executive,43774.16,41545.72,145253.93,6,Bachelor's,Female,47,New York,2.8
21275,Courtney Wilson,Finance,Manager,42735.79,21232.13,156050.9,17,PhD,Male,22,New York,3.0
45718,Christine Miles,Sales,Consultant,51485.38,38052.01,116941.54,1,Bachelor's,Male,52,New York,4.5
81898,Veronica Ward,Marketing,Consultant,57886.49,7407.44,112151.69,23,Bachelor's,Female,50,Chicago,3.2
